month_start,scenario,pnl_line,statement_section,sort_order,amount_usd
2026-05-01,Budget,"Professional Services Revenue",Revenue,20,1507650.92
2026-05-01,Budget,"Cost of Subscription","Cost of Revenue",40,2259097.18
2026-05-01,Budget,"Cost of Services","Cost of Revenue",60,1287739.81
2026-05-01,Budget,"Sales & Marketing","Operating Expense",100,2624301.57
2026-05-01,Budget,"Research & Development","Operating Expense",140,2693977.03
2026-05-01,Budget,"General & Administrative","Operating Expense",160,1745314.96
2026-05-01,Budget,"Depreciation & Amortization",D&A,230,202035.33
2026-05-01,"Q2 Forecast","Subscription Revenue",Revenue,10,9862711.13
2026-05-01,"Q2 Forecast","Professional Services Revenue",Revenue,20,1974030.18
2026-05-01,"Q2 Forecast","Cost of Subscription","Cost of Revenue",40,2205052.97
2026-05-01,"Q2 Forecast","Cost of Services","Cost of Revenue",60,1240229.52
2026-05-01,"Q2 Forecast","Sales & Marketing","Operating Expense",100,2547228.54
2026-05-01,"Q2 Forecast","Research & Development","Operating Expense",140,2637088.51
2026-05-01,"Q2 Forecast","General & Administrative","Operating Expense",160,1737324.02
2026-05-01,"Q2 Forecast","Depreciation & Amortization",D&A,230,213061.34
2026-06-01,Actual,"Subscription Revenue",Revenue,10,9876052.54
2026-06-01,Actual,"Professional Services Revenue",Revenue,20,1649060.86
2026-06-01,Actual,"Cost of Subscription","Cost of Revenue",40,2193959.09
2026-06-01,Actual,"Cost of Services","Cost of Revenue",60,1210258.41
2026-06-01,Actual,"Sales & Marketing","Operating Expense",100,2553505.27
2026-06-01,Actual,"Research & Development","Operating Expense",140,2611375.29
2026-06-01,Actual,"General & Administrative","Operating Expense",160,1720913.82
2026-06-01,Actual,"Depreciation & Amortization",D&A,230,207452.04
2026-06-01,Budget,"Subscription Revenue",Revenue,10,10763457.87
2026-06-01,Budget,"Professional Services Revenue",Revenue,20,1628461.07
2026-06-01,Budget,"Cost of Subscription","Cost of Revenue",40,2306113.26
2026-06-01,Budget,"Cost of Services","Cost of Revenue",60,1280272.04
2026-06-01,Budget,"Sales & Marketing","Operating Expense",100,2670866.96
2026-06-01,Budget,"Research & Development","Operating Expense",140,2695187.98
2026-06-01,Budget,"General & Administrative","Operating Expense",160,1820651.35
2026-06-01,Budget,"Depreciation & Amortization",D&A,230,208890.97
2026-06-01,"Q2 Forecast","Subscription Revenue",Revenue,10,9876052.54
2026-06-01,"Q2 Forecast","Professional Services Revenue",Revenue,20,1649060.86
2026-06-01,"Q2 Forecast","Cost of Subscription","Cost of Revenue",40,2193959.09
2026-06-01,"Q2 Forecast","Cost of Services","Cost of Revenue",60,1210258.41
2026-06-01,"Q2 Forecast","Sales & Marketing","Operating Expense",100,2553505.27
2026-06-01,"Q2 Forecast","Research & Development","Operating Expense",140,2611375.29
2026-06-01,"Q2 Forecast","General & Administrative","Operating Expense",160,1720913.82
2026-06-01,"Q2 Forecast","Depreciation & Amortization",D&A,230,207452.04
2026-07-01,Budget,"Subscription Revenue",Revenue,10,10911359.56
2026-07-01,Budget,"Professional Services Revenue",Revenue,20,1560232.39
2026-07-01,Budget,"Cost of Subscription","Cost of Revenue",40,2325516.78
2026-07-01,Budget,"Cost of Services","Cost of Revenue",60,1292607.7
2026-07-01,Budget,"Sales & Marketing","Operating Expense",100,2664113.88
2026-07-01,Budget,"Research & Development","Operating Expense",140,2710672.33
2026-07-01,Budget,"General & Administrative","Operating Expense",160,1782920.51
2026-07-01,Budget,"Depreciation & Amortization",D&A,230,210187.69
2026-07-01,"Q2 Forecast","Subscription Revenue",Revenue,10,10420348.38
2026-07-01,"Q2 Forecast","Professional Services Revenue",Revenue,20,1435413.79
2026-07-01,"Q2 Forecast","Cost of Subscription","Cost of Revenue",40,2212919.65
2026-07-01,"Q2 Forecast","Cost of Services","Cost of Revenue",60,1235997.97
2026-07-01,"Q2 Forecast","Sales & Marketing","Operating Expense",100,2577312.8
2026-07-01,"Q2 Forecast","Research & Development","Operating Expense",140,2595395.02
2026-07-01,"Q2 Forecast","General & Administrative","Operating Expense",160,1770746.54
2026-07-01,"Q2 Forecast","Depreciation & Amortization",D&A,230,208085.81
2026-08-01,Budget,"Subscription Revenue",Revenue,10,11015985.97
2026-08-01,Budget,"Professional Services Revenue",Revenue,20,1932031.43
2026-08-01,Budget,"Cost of Subscription","Cost of Revenue",40,2366431.41
2026-08-01,Budget,"Cost of Services","Cost of Revenue",60,1299316.25
2026-08-01,Budget,"Sales & Marketing","Operating Expense",100,2709451.54
2026-08-01,Budget,"Research & Development","Operating Expense",140,2755347.16
2026-08-01,Budget,"General & Administrative","Operating Expense",160,1824892.77
2026-08-01,Budget,"Depreciation & Amortization",D&A,230,218400.84
2026-08-01,"Q2 Forecast","Subscription Revenue",Revenue,10,10520266.6
2026-08-01,"Q2 Forecast","Professional Services Revenue",Revenue,20,1780047.06
2026-08-01,"Q2 Forecast","Cost of Subscription","Cost of Revenue",40,2251702.57
2026-08-01,"Q2 Forecast","Cost of Services","Cost of Revenue",60,1242320.4
2026-08-01,"Q2 Forecast","Sales & Marketing","Operating Expense",100,2621595.57
2026-08-01,"Q2 Forecast","Research & Development","Operating Expense",140,2638151.85
2026-08-01,"Q2 Forecast","General & Administrative","Operating Expense",160,1805469.41
2026-08-01,"Q2 Forecast","Depreciation & Amortization",D&A,230,216216.83
2026-09-01,Budget,"Subscription Revenue",Revenue,10,11153821.49
2026-09-01,Budget,"Professional Services Revenue",Revenue,20,1981629.56
2026-09-01,Budget,"Cost of Subscription","Cost of Revenue",40,2373081.54
2026-09-01,Budget,"Cost of Services","Cost of Revenue",60,1315760.04
2026-09-01,Budget,"Sales & Marketing","Operating Expense",100,2701992.63
2026-09-01,Budget,"Research & Development","Operating Expense",140,2774758.68
2026-09-01,Budget,"General & Administrative","Operating Expense",160,1800392.62
2026-09-01,Budget,"Depreciation & Amortization",D&A,230,221575.12
2026-09-01,"Q2 Forecast","Subscription Revenue",Revenue,10,10651899.52
2026-09-01,"Q2 Forecast","Professional Services Revenue",Revenue,20,1823099.21
2026-09-01,"Q2 Forecast","Cost of Subscription","Cost of Revenue",40,2257913.09
2026-09-01,"Q2 Forecast","Cost of Services","Cost of Revenue",60,1258372.07
2026-09-01,"Q2 Forecast","Sales & Marketing","Operating Expense",100,2614498.07
2026-09-01,"Q2 Forecast","Research & Development","Operating Expense",140,2656745.19
2026-09-01,"Q2 Forecast","General & Administrative","Operating Expense",160,1791293.54
2026-09-01,"Q2 Forecast","Depreciation & Amortization",D&A,230,219359.37
2026-10-01,Budget,"Subscription Revenue",Revenue,10,11240886.73
2026-10-01,Budget,"Professional Services Revenue",Revenue,20,2524529.04
2026-10-01,Budget,"Cost of Subscription","Cost of Revenue",40,2394243.34
2026-10-01,Budget,"Cost of Services","Cost of Revenue",60,1336947.87
2026-10-01,Budget,"Sales & Marketing","Operating Expense",100,2898968.2
2026-10-01,Budget,"Research & Development","Operating Expense",140,2734419.37
2026-10-01,Budget,"General & Administrative","Operating Expense",160,1824871.38
2026-10-01,Budget,"Depreciation & Amortization",D&A,230,232465.35
2026-10-01,"Q2 Forecast","Subscription Revenue",Revenue,10,10735046.83
2026-10-01,"Q2 Forecast","Professional Services Revenue",Revenue,20,2322566.72
2026-10-01,"Q2 Forecast","Cost of Subscription","Cost of Revenue",40,2277237.92
2026-10-01,"Q2 Forecast","Cost of Services","Cost of Revenue",60,1278692.21
2026-10-01,"Q2 Forecast","Sales & Marketing","Operating Expense",100,2813471.86
2026-10-01,"Q2 Forecast","Research & Development","Operating Expense",140,2618149.23
2026-10-01,"Q2 Forecast","General & Administrative","Operating Expense",160,1809871.9
2026-10-01,"Q2 Forecast","Depreciation & Amortization",D&A,230,230140.7
2026-11-01,Budget,"Subscription Revenue",Revenue,10,11263590.26
2026-11-01,Budget,"Professional Services Revenue",Revenue,20,2747974.81
2026-11-01,Budget,"Cost of Subscription","Cost of Revenue",40,2386838.88
2026-11-01,Budget,"Cost of Services","Cost of Revenue",60,1305780.62
2026-11-01,Budget,"Sales & Marketing","Operating Expense",100,2923355.52
2026-11-01,Budget,"Research & Development","Operating Expense",140,2769246.67
2026-11-01,Budget,"General & Administrative","Operating Expense",160,1833552.39
2026-11-01,Budget,"Depreciation & Amortization",D&A,230,236727.21
2026-11-01,"Q2 Forecast","Subscription Revenue",Revenue,10,10756728.7
2026-11-01,"Q2 Forecast","Professional Services Revenue",Revenue,20,2528136.83
2026-11-01,"Q2 Forecast","Cost of Subscription","Cost of Revenue",40,2271201.4
2026-11-01,"Q2 Forecast","Cost of Services","Cost of Revenue",60,1249125.89
2026-11-01,"Q2 Forecast","Sales & Marketing","Operating Expense",100,2837530.38
2026-11-01,"Q2 Forecast","Research & Development","Operating Expense",140,2651533.52
2026-11-01,"Q2 Forecast","General & Administrative","Operating Expense",160,1807870.59
2026-11-01,"Q2 Forecast","Depreciation & Amortization",D&A,230,234359.94
2026-12-01,Budget,"Subscription Revenue",Revenue,10,11335333.26
2026-12-01,Budget,"Professional Services Revenue",Revenue,20,1797934.65
2026-12-01,Budget,"Cost of Subscription","Cost of Revenue",40,2425903.7
2026-12-01,Budget,"Cost of Services","Cost of Revenue",60,1278967.78
2026-12-01,Budget,"Sales & Marketing","Operating Expense",100,2887004.51
2026-12-01,Budget,"Research & Development","Operating Expense",140,2754863.79
2026-12-01,Budget,"General & Administrative","Operating Expense",160,1788930.39
2026-12-01,Budget,"Depreciation & Amortization",D&A,230,221430.34
2026-12-01,"Q2 Forecast","Subscription Revenue",Revenue,10,10825243.26
2026-12-01,"Q2 Forecast","Professional Services Revenue",Revenue,20,1654099.88
2026-12-01,"Q2 Forecast","Cost of Subscription","Cost of Revenue",40,2308262.83
2026-12-01,"Q2 Forecast","Cost of Services","Cost of Revenue",60,1223221.99
2026-12-01,"Q2 Forecast","Sales & Marketing","Operating Expense",100,2800579.28
2026-12-01,"Q2 Forecast","Research & Development","Operating Expense",140,2637764.95
2026-12-01,"Q2 Forecast","General & Administrative","Operating Expense",160,1772213.85
2026-12-01,"Q2 Forecast","Depreciation & Amortization",D&A,230,219216.04
