customer_id,customer_name,industry,segment,region_id,contract_start_month,renewal_month,billing_cadence,payment_terms_days,credit_risk_tier,initial_acv_usd,churn_month,current_arr_usd
C0237,Vantage Media 237,Manufacturing,Mid-Market,R03,2025-01-01,1,Quarterly,30,B,205751.17,,211923.72
C0238,BluePeak Logistics 238,Manufacturing,Mid-Market,R03,2023-07-01,7,Annual,60,B,213355.05,,238508.76
C0239,Silverline Health 239,Retail and E-commerce,Enterprise,R04,2023-08-01,8,Annual,45,A,337465.56,2025-08-01,0
C0240,Evergreen Health 240,Business Services,SMB,R04,2020-06-01,6,Quarterly,30,C,55522.81,,62928.72
C0241,Pioneer Media 241,Energy,Mid-Market,R01,2022-01-01,1,Quarterly,30,B,105626.39,,134821.32
C0242,Crescent Financial 242,Manufacturing,Mid-Market,R02,2021-05-01,5,Annual,45,A,212507.85,,277015.68
C0243,Meridian Health 243,Technology,Mid-Market,R01,2022-08-01,8,Annual,30,C,276326.12,,354826.44
C0244,Ironwood Mobility 244,Energy,SMB,R03,2022-04-01,4,Quarterly,30,A,39497.82,,45175.56
C0245,Meridian Logistics 245,Manufacturing,Enterprise,R02,2021-06-01,6,Annual,45,A,881607.33,,1341510.96
C0246,BluePeak Mobility 246,Manufacturing,SMB,R03,2024-11-01,11,Annual,30,A,46162.78,,48240.12
C0247,Crescent Logistics 247,Technology,Enterprise,R01,2023-10-01,10,Quarterly,45,B,1274318.44,,1445449.32
C0248,Westbridge Mobility 248,Manufacturing,Mid-Market,R02,2024-08-01,8,Quarterly,45,B,210881.87,,232194.24
C0249,Keystone Energy 249,Business Services,Enterprise,R02,2022-11-01,11,Annual,60,C,748540.72,,971802.6
C0250,Nova Insurance 250,Energy,SMB,R04,2022-07-01,7,Quarterly,30,A,55146.03,,66572.4
C0251,Ironwood Health 251,Energy,SMB,R02,2024-12-01,12,Quarterly,30,A,39893.92,,44120.28
C0252,Highland Retail 252,Retail and E-commerce,SMB,R01,2021-11-01,11,Annual,30,B,58237.53,,63637.68
C0253,Beacon Health 253,Retail and E-commerce,Enterprise,R01,2021-02-01,2,Annual,45,A,1040745.44,,1426263.36
C0254,Meridian Retail 254,Healthcare,Mid-Market,R01,2025-11-01,11,Quarterly,30,A,167212.82,,167212.8
C0255,Pioneer Health 255,Business Services,Mid-Market,R01,2026-02-01,2,Annual,30,B,118816.9,,118816.92
C0256,Westbridge Media 256,Technology,Mid-Market,R01,2024-06-01,6,Quarterly,30,C,86807.27,,97665.24
C0257,Cedar Media 257,Financial Services,Enterprise,R01,2021-09-01,9,Quarterly,45,A,663990.19,,803100.12
C0258,Frontier Media 258,Manufacturing,Mid-Market,R03,2025-08-01,8,Quarterly,60,B,88585.58,,88585.56
C0259,Clearwater Retail 259,Financial Services,Mid-Market,R03,2022-10-01,10,Annual,30,A,188148.96,,223935.84
C0260,Keystone Mobility 260,Energy,Mid-Market,R03,2020-03-01,3,Annual,30,A,166408.47,2026-03-01,0
C0261,Summit Energy 261,Business Services,SMB,R03,2025-02-01,2,Quarterly,30,A,51010.51,,49529.4
C0262,Redwood Health 262,Logistics,SMB,R01,2022-07-01,7,Quarterly,30,A,29030.78,2023-07-01,0
C0263,Evergreen Energy 263,Retail and E-commerce,Mid-Market,R01,2025-12-01,12,Annual,45,A,140723.27,,140723.28
C0264,Westbridge Logistics 264,Technology,Mid-Market,R01,2020-08-01,8,Annual,30,B,206545.82,,250892.4
C0265,Frontier Retail 265,Manufacturing,Enterprise,R03,2022-09-01,9,Annual,45,A,914298.83,,1154505.72
C0266,Pioneer Financial 266,Energy,Enterprise,R03,2021-04-01,4,Annual,60,A,537827.84,,700749.24
C0267,Evergreen Foods 267,Healthcare,SMB,R03,2022-07-01,7,Quarterly,30,A,39535.7,,46860.6
C0268,Redwood Foods 268,Energy,Enterprise,R01,2023-07-01,7,Annual,60,A,480693.23,,567015.24
C0269,Atlas Health 269,Retail and E-commerce,SMB,R01,2021-11-01,11,Quarterly,15,A,30788.83,2023-11-01,0
C0270,Summit Retail 270,Technology,Enterprise,R01,2020-03-01,3,Annual,60,A,541094.53,,777951
C0271,Vantage Energy 271,Manufacturing,SMB,R03,2026-02-01,2,Quarterly,15,A,18680.74,,18680.76
C0272,Harbor Health 272,Energy,Mid-Market,R04,2025-02-01,2,Quarterly,30,B,193159.96,,209580.48
C0273,Frontier Education 273,Energy,Enterprise,R03,2021-05-01,5,Annual,60,A,595780.32,,839215.2
C0274,Evergreen Education 274,Manufacturing,SMB,R03,2022-07-01,7,Quarterly,15,B,39811.58,,45717.12
C0275,Silverline Health 275,Financial Services,Mid-Market,R03,2022-04-01,4,Quarterly,45,B,136626.04,2026-04-01,0
C0276,Highland Technology 276,Business Services,SMB,R03,2021-11-01,11,Annual,30,A,48263.04,,51535.68
C0277,Ironwood Technology 277,Energy,SMB,R01,2024-05-01,5,Quarterly,30,A,41886.34,,41684.04
C0278,BluePeak Financial 278,Logistics,Enterprise,R02,2022-03-01,3,Annual,45,A,1645789.05,,2235291.24
C0279,Vantage Mobility 279,Business Services,SMB,R03,2023-05-01,5,Quarterly,30,A,28875.9,,32299.2
C0280,Keystone Education 280,Healthcare,Mid-Market,R04,2025-05-01,5,Annual,30,A,349678.07,,397576.44
C0281,Westbridge Education 281,Manufacturing,Mid-Market,R01,2024-01-01,1,Annual,30,B,90946.28,,93790.32
C0282,BrightPath Retail 282,Healthcare,Mid-Market,R01,2023-03-01,3,Quarterly,60,A,133514.2,,157416.36
C0283,Cedar Financial 283,Logistics,Enterprise,R02,2022-01-01,1,Annual,45,A,1277481.84,,1714205.88
C0284,Clearwater Foods 284,Logistics,Mid-Market,R01,2021-11-01,11,Annual,45,B,253265.53,,287286.12
C0285,Crescent Technology 285,Energy,Mid-Market,R02,2021-04-01,4,Quarterly,60,C,67493.11,,87925.08
C0286,BluePeak Foods 286,Retail and E-commerce,Mid-Market,R01,2023-01-01,1,Quarterly,30,A,129147.66,2026-01-01,0
C0287,Westbridge Technology 287,Retail and E-commerce,Enterprise,R03,2021-05-01,5,Annual,30,A,814549.7,,1071235.92
C0288,Westbridge Mobility 288,Logistics,Enterprise,R01,2020-10-01,10,Annual,60,A,1217468.15,,1542244.8
C0289,Evergreen Media 289,Financial Services,Mid-Market,R04,2020-08-01,8,Annual,30,A,135568.21,,171695.88
C0290,BluePeak Energy 290,Healthcare,Enterprise,R02,2022-05-01,5,Annual,45,C,715059.62,,956992.8
C0291,Harbor Media 291,Energy,Enterprise,R03,2020-05-01,5,Quarterly,45,A,607968.5,,816573.12
C0292,Vantage Foods 292,Logistics,Mid-Market,R04,2021-02-01,2,Annual,30,A,130573.92,,159708.36
C0293,Vantage Technology 293,Manufacturing,Enterprise,R02,2022-05-01,5,Quarterly,30,A,510831.41,,709222.8
C0294,Nova Logistics 294,Technology,Enterprise,R03,2020-11-01,11,Annual,45,A,772988.51,,937514.52
C0295,Beacon Technology 295,Manufacturing,Enterprise,R03,2021-12-01,12,Annual,45,A,861698.76,,1118006.28
C0296,Frontier Technology 296,Financial Services,Mid-Market,R02,2020-05-01,5,Annual,30,B,150075.93,,190654.44
C0297,Frontier Health 297,Technology,Mid-Market,R03,2022-07-01,7,Annual,45,A,194744.17,,234806.52
C0298,Highland Media 298,Logistics,Mid-Market,R04,2021-09-01,9,Quarterly,30,A,125595.48,,137241.6
C0299,Frontier Insurance 299,Energy,SMB,R04,2023-09-01,9,Quarterly,30,A,32057.55,,36715.8
C0300,Meridian Manufacturing 300,Retail and E-commerce,Enterprise,R02,2024-04-01,4,Quarterly,45,B,1269911.81,,1448362.44
