revenue_rank,customer_id,customer_name,segment,industry,region_name,subscription_revenue_usd,services_revenue_usd,total_revenue_usd,revenue_share
262,C0226,"Frontier Financial 226",SMB,Manufacturing,"US West",36522.7,0.0,36522.7,0.0003
263,C0299,"Frontier Insurance 299",SMB,Energy,Canada,36493.0,0.0,36493.0,0.0003
264,C0131,"Highland Financial 131",SMB,Healthcare,"US East",35488.27,0.0,35488.27,0.0003
265,C0039,"Redwood Technology 039",SMB,Energy,"US West",35323.75,0.0,35323.75,0.0003
266,C0015,"Highland Manufacturing 015",SMB,Healthcare,"US East",34549.28,0.0,34549.28,0.0003
267,C0192,"Oakridge Logistics 192",SMB,"Business Services","US Central",33912.79,0.0,33912.79,0.0002
268,C0014,"Meridian Technology 014",SMB,"Business Services","US East",33713.64,0.0,33713.64,0.0002
269,C0092,"BrightPath Mobility 092",Mid-Market,Logistics,Canada,33245.17,0.0,33245.17,0.0002
270,C0070,"Meridian Logistics 070",SMB,Manufacturing,"US West",32960.08,0.0,32960.08,0.0002
271,C0210,"BluePeak Logistics 210",SMB,"Retail and E-commerce","US West",32655.57,0.0,32655.57,0.0002
272,C0279,"Vantage Mobility 279",SMB,"Business Services","US East",31476.11,0.0,31476.11,0.0002
273,C0069,"Oakridge Media 069",SMB,"Retail and E-commerce","US West",29552.92,0.0,29552.92,0.0002
274,C0197,"BluePeak Financial 197",SMB,"Financial Services","US East",28941.09,0.0,28941.09,0.0002
275,C0218,"Highland Retail 218",SMB,"Retail and E-commerce","US Central",27330.52,0.0,27330.52,0.0002
276,C0201,"Redwood Technology 201",SMB,Healthcare,"US West",26128.15,0.0,26128.15,0.0002
277,C0090,"BrightPath Foods 090",Mid-Market,Technology,"US East",25129.06,0.0,25129.06,0.0002
278,C0010,"Meridian Foods 010",SMB,"Business Services",Canada,24769.86,0.0,24769.86,0.0002
279,C0129,"BrightPath Insurance 129",SMB,Manufacturing,"US West",24253.31,0.0,24253.31,0.0002
280,C0113,"Clearwater Insurance 113",SMB,"Business Services","US East",22954.86,0.0,22954.86,0.0002
281,C0194,"Harbor Insurance 194",SMB,Manufacturing,"US West",8373.26,0.0,8373.26,0.0001
282,C0027,"Pioneer Foods 027",SMB,"Business Services","US East",8235.74,0.0,8235.74,0.0001
283,C0271,"Vantage Energy 271",SMB,Manufacturing,"US East",7005.28,0.0,7005.28,0.0001
284,C0125,"Summit Mobility 125",SMB,"Retail and E-commerce","US West",6574.08,0.0,6574.08,0.0
